                                        capacity     operations     bandwidth 
pool                                  alloc   free   read  write   read  write
------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                          172M   298G      0      0    171    106
  raidz1-0                             172M   298G      0      0    171    106
    scsi-300000000000004f6                -      -      0      0     57     35
    scsi-300000000000004f7                -      -      0      0     57     35
    scsi-300000000000004f8                -      -      0      0     57     35
------------------------------------  -----  -----  -----  -----  -----  -----
td                                    65.9G  33.6G      0      0      2   107K
  mirror-0                            65.9G  33.6G      0      0      2   107K
    wwn-0x00000000000004f9                -      -      0      0      1  53.5K
    wwn-0x00000000000004fa                -      -      0      0      1  53.5K
------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                   192M  2.56G      0     24  4.33K   878K
  raidz1-0                             192M  2.56G      0     24  4.33K   878K
    /var/tmp/zresmon-lab/zr11-v1.img      -      -      0      8    104   291K
    /var/tmp/zresmon-lab/zr11-v2.img      -      -      0      8  2.11K   293K
    /var/tmp/zresmon-lab/zr11-v3.img      -      -      0      8  2.11K   293K
------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                   128M   832M      0     24  2.21K  1.16M
  mirror-0                             128M   832M      0     24  2.21K  1.16M
    /var/tmp/zresmon-lab/zrm0-v1.img      -      -      0     11    104   591K
    /var/tmp/zresmon-lab/zrm0-v2.img      -      -      0     12  2.11K   593K
------------------------------------  -----  -----  -----  -----  -----  -----
                                        capacity     operations     bandwidth 
pool                                  alloc   free   read  write   read  write
------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                          172M   298G      0      0      0      0
  raidz1-0                             172M   298G      0      0      0      0
    scsi-300000000000004f6                -      -      0      0      0      0
    scsi-300000000000004f7                -      -      0      0      0      0
    scsi-300000000000004f8                -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
td                                    65.9G  33.6G      0      0      0      0
  mirror-0                            65.9G  33.6G      0      0      0      0
    wwn-0x00000000000004f9                -      -      0      0      0      0
    wwn-0x00000000000004fa                -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                   192M  2.56G      0      0      0      0
  raidz1-0                             192M  2.56G      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v2.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v3.img      -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                   128M   832M      0      0      0      0
  mirror-0                             128M   832M      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-v1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-v2.img      -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
                                        capacity     operations     bandwidth 
pool                                  alloc   free   read  write   read  write
------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                          172M   298G      0      0      0      0
  raidz1-0                             172M   298G      0      0      0      0
    scsi-300000000000004f6                -      -      0      0      0      0
    scsi-300000000000004f7                -      -      0      0      0      0
    scsi-300000000000004f8                -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
td                                    65.9G  33.6G      0      0      0      0
  mirror-0                            65.9G  33.6G      0      0      0      0
    wwn-0x00000000000004f9                -      -      0      0      0      0
    wwn-0x00000000000004fa                -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                   192M  2.56G      0      0      0      0
  raidz1-0                             192M  2.56G      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v2.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v3.img      -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                   128M   832M      0      0      0      0
  mirror-0                             128M   832M      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-v1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-v2.img      -      -      0      0      0      0
------------------------------------  -----  -----  -----  -----  -----  -----
