                                            capacity     operations     bandwidth 
pool                                      alloc   free   read  write   read  write
----------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                              172M   298G      0      0    171    106
  raidz1-0                                 172M   298G      0      0    171    106
    scsi-300000000000004f6                    -      -      0      0     57     35
    scsi-300000000000004f7                    -      -      0      0     57     35
    scsi-300000000000004f8                    -      -      0      0     57     35
----------------------------------------  -----  -----  -----  -----  -----  -----
td                                        65.9G  33.6G      0      0      2   107K
  mirror-0                                65.9G  33.6G      0      0      2   107K
    wwn-0x00000000000004f9                    -      -      0      0      1  53.5K
    wwn-0x00000000000004fa                    -      -      0      0      1  53.5K
----------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                       193M  2.56G      4     22   549K   874K
  raidz1-0                                 193M  2.56G      4     22   549K   874K
    /var/tmp/zresmon-lab/zr11-spare1.img      -      -      1    448  10.9K  30.5M
    /var/tmp/zresmon-lab/zr11-v2.img          -      -      2      9   275K   294K
    /var/tmp/zresmon-lab/zr11-v3.img          -      -      2      9   275K   294K
----------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                       128M   832M      4     20   548K  1.12M
  mirror-0                                 128M   832M      4     20   548K  1.12M
    /var/tmp/zresmon-lab/zrm0-spare1.img      -      -      0    393  5.58K  30.6M
    /var/tmp/zresmon-lab/zrm0-v2.img          -      -      4     13   548K   587K
----------------------------------------  -----  -----  -----  -----  -----  -----
                                            capacity     operations     bandwidth 
pool                                      alloc   free   read  write   read  write
----------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                              172M   298G      0      0      0      0
  raidz1-0                                 172M   298G      0      0      0      0
    scsi-300000000000004f6                    -      -      0      0      0      0
    scsi-300000000000004f7                    -      -      0      0      0      0
    scsi-300000000000004f8                    -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
td                                        65.9G  33.6G      0      0      0      0
  mirror-0                                65.9G  33.6G      0      0      0      0
    wwn-0x00000000000004f9                    -      -      0      0      0      0
    wwn-0x00000000000004fa                    -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                       193M  2.56G      0      0      0      0
  raidz1-0                                 193M  2.56G      0      0      0      0
    /var/tmp/zresmon-lab/zr11-spare1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v2.img          -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v3.img          -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                       128M   832M      0      0      0      0
  mirror-0                                 128M   832M      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-spare1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zrm0-v2.img          -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
                                            capacity     operations     bandwidth 
pool                                      alloc   free   read  write   read  write
----------------------------------------  -----  -----  -----  -----  -----  -----
ci_zfsPool_1A                              172M   298G      0      0      0      0
  raidz1-0                                 172M   298G      0      0      0      0
    scsi-300000000000004f6                    -      -      0      0      0      0
    scsi-300000000000004f7                    -      -      0      0      0      0
    scsi-300000000000004f8                    -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
td                                        65.9G  33.6G      0      0      0      0
  mirror-0                                65.9G  33.6G      0      0      0      0
    wwn-0x00000000000004f9                    -      -      0      0      0      0
    wwn-0x00000000000004fa                    -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
zr11                                       193M  2.56G      0      0      0      0
  raidz1-0                                 193M  2.56G      0      0      0      0
    /var/tmp/zresmon-lab/zr11-spare1.img      -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v2.img          -      -      0      0      0      0
    /var/tmp/zresmon-lab/zr11-v3.img          -      -      0      0      0      0
----------------------------------------  -----  -----  -----  -----  -----  -----
zrm0                                       128M   832M      0     92      0   181K
  mirror-0                                 128M   832M      0     92      0   181K
    /var/tmp/zresmon-lab/zrm0-spare1.img      -      -      0     45      0  90.6K
    /var/tmp/zresmon-lab/zrm0-v2.img          -      -      0     46      0  90.6K
----------------------------------------  -----  -----  -----  -----  -----  -----
